index,score,label
1061,1.1714738160089855,-1
868,1.1705082809443879,-1
22764,1.1679870975579951,-1
497,1.1607203663199706,-1
25265,1.149670147833422,-1
24285,1.1494322804050963,-1
24640,1.1494322804050963,-1
24084,1.1494322804050963,-1
112,1.1436092403316704,-1
27919,1.143566819908853,-1
22746,1.1410654151733357,-1
27672,1.1384441125866065,-1
21330,1.1360624659591247,-1
27714,1.130377295289014,-1
22363,1.127443694438572,-1
23219,1.1271638443574736,-1
21803,1.1195136190626829,-1
1639,1.1148845869514838,-1
95,1.1107056791819938,-1
25078,1.108376584904801,-1
24989,1.10697733449914,-1
24548,1.1057926110787553,-1
25076,1.105423684048728,-1
21570,1.1050494897513543,-1
27231,1.1049229745191111,-1
26611,1.1047680431120908,-1
22582,1.1047509700301767,-1
23057,1.1036082723030884,-1
22800,1.101854156767655,-1
22276,1.0969592525000385,-1
16803,1.093441680948415,-1
26203,1.0917513331491806,-1
21962,1.0916635748415922,-1
22653,1.0877974869986273,-1
16862,1.0821994787902511,-1
16934,1.0821742403213752,-1
16933,1.0821690441660357,-1
16858,1.0821675595502247,-1
16954,1.0821616210869587,-1
16932,1.0821527133920696,-1
17002,1.0821490018525206,-1
16953,1.082146774928825,-1
16900,1.0821460326208978,-1
17001,1.0821445480050869,-1
17003,1.0821415787734643,-1
16855,1.0821259903074036,-1
16860,1.0821230210757602,-1
16864,1.0821155979967036,-1
16931,1.0821133710729658,-1
16952,1.0821096595334165,-1
16857,1.0821044633780772,-1
17008,1.0820992672227165,-1
16865,1.0820992672227165,-1
17007,1.082085905680394,-1
17000,1.082065121058994,-1
17006,1.0820547287482942,-1
17005,1.0813888785552332,-1
16899,1.0780931669322948,-1
16951,1.0779847899778194,-1
16930,1.0779847899778194,-1
1008,1.077470714106339,-1
22032,1.0764431452453864,-1
16999,1.0739660704529599,-1
21557,1.0734764764903473,-1
26375,1.0734051596847718,-1
27915,1.0715419705400886,-1
28018,1.0697636757484623,-1
22448,1.06724410447048,-1
24110,1.0661910967692643,-1
24404,1.0648994810102153,-1
26474,1.0645022929772938,-1
16774,1.06043341873828,-1
22960,1.058989515579748,-1
22369,1.057073698658181,-1
22349,1.0558473137778135,-1
86,1.054396084192867,-1
16856,1.0535751419369654,-1
6991,1.0535515643981817,-1
27172,1.053034641939085,-1
23011,1.0525930765851694,-1
107,1.052551960467021,-1
6067,1.0488165281320696,-1
6061,1.0488105896688034,-1
26958,1.0466780454390665,-1
17009,1.0461059867663098,-1
5424,1.0429192573994317,-1
21429,1.0384367708848117,-1
26476,1.032643706271723,-1
25172,1.0323118946370617,-1
5427,1.0301746027409466,-1
1308,1.0297122213425898,-1
22852,1.0286139099769345,-1
27227,1.0273679692723077,-1
23055,1.0272909669691446,-1
24488,1.0262651939042098,-1
24689,1.0244747472313103,-1
24623,1.0235386969599451,-1
24067,1.0234518469347753,-1
76,1.0215007675713843,-1
16792,1.0206280207944118,-1
16829,1.020478816905021,-1
23177,1.02033561418488,-1
23118,1.0178322818924646,-1
21750,1.0175002551418968,-1
26459,1.0174335006553772,-1
23120,1.0174101064123389,-1
23045,1.0160076890558216,-1
22740,1.0159831928948935,-1
22956,1.0142761442374753,-1
21681,1.0138292497994528,-1
22742,1.0082145689669115,-1
6063,1.008210987563636,-1
27901,1.0063369719138138,-1
1,1.0061608052107303,-1
22586,1.002678737552079,-1
22944,1.0025214905355755,-1
25258,1.0020129017427135,-1
26298,0.9991935579810115,-1
23381,0.998586303072549,-1
93,0.99706399125628,-1
21468,0.9965299618558546,-1
1700,0.9921913622154127,-1
1517,0.990781555027079,-1
21690,0.9899540030506664,-1
27796,0.989689928840821,-1
26617,0.9885639610130963,-1
24491,0.9852094984039141,-1
24240,0.9844404674117383,-1
24464,0.9827197976821371,-1
22798,0.980975951976886,-1
24861,0.9805665029205696,-1
27654,0.9805083947100435,-1
1748,0.9798111017895711,-1
1421,0.9793727462718481,-1
27403,0.9792682721137065,-1
21438,0.9787061721149581,-1
21879,0.9786425726251001,-1
21892,0.9783244281312802,-1
1298,0.9782181702494576,-1
21606,0.977668619405771,-1
23203,0.9740616344478435,-1
16869,0.973688479326788,-1
21942,0.9734704904760098,-1
27159,0.9734607939299974,-1
21939,0.970741282155223,-1
22031,0.9680346694981701,-1
5978,0.9666227409537211,-1
24242,0.9661551523655857,-1
24219,0.9661551523655857,-1
24550,0.964823451979506,-1
104,0.9614959453010644,-1
25263,0.9614838488471737,-1
21958,0.9612292361487657,-1
21810,0.9603746509359347,-1
17030,0.9594099235312017,-1
22911,0.9593183357936046,-1
26461,0.9588132254148775,-1
22205,0.9565296421421929,-1
1683,0.9549230514111533,-1
22548,0.954777134408579,-1
