length,duration,src_port,dst_port,src_ip,dst_ip,proto_BROWSER,proto_DNS,proto_HTTP,proto_MDNS,proto_QUIC,proto_SSDP,proto_TCP,proto_TLSv1.2,proto_TLSv1.3,proto_UDP,proto_UDP/XML,euclidean_to_mean,cosine_to_mean
145,0.018618999999999275,0,0,1719953429,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.435534944460692,-0.2372290830923171
54,0.05160899999999913,443,49777,64931134,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.180448862153939,-0.5116126697718139
54,0.0021900000000005804,55802,443,3232258180,1719953429,False,False,False,False,False,False,True,False,False,False,False,4.966692015674264,-0.16194639278735706
55,0.062307000000000556,62128,443,3232258180,2896512484,False,False,False,False,False,False,True,False,False,False,False,5.125701077916947,-0.41367956363335223
71,0.023773000000000266,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.2951383830992276,0.9252998489148155
70,0.048341999999999885,0,0,398779366,3232258180,False,False,False,False,True,False,False,False,False,False,False,2.945472090759836,-0.21283442843496075
574,0.08148599999999995,0,0,338313560,3232258180,False,False,False,False,False,False,False,False,True,False,False,6.185854588436588,-0.10293398335307109
54,9.899999999873899e-05,59902,443,3232258180,338313560,False,False,False,False,False,False,True,False,False,False,False,5.871284461663004,0.10109721085543931
66,0.0574450000000013,443,62128,2896512484,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.648010477092474,-0.43833569931498706
71,0.009223000000000425,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,5.802650444029819,-0.25251747900770544
69,0.04793199999999942,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.466409744047862,-0.17532055372399774
71,0.008108000000000004,0,0,3232258180,398779366,False,False,False,False,True,False,False,False,False,False,False,3.295973685344363,0.9233873262301586
